candidate_id,regularization,development_brier,development_pr_auc,selected
C3,0.1,0.04666654974417275,0.48665767415767414,True
C3,0.05,0.04928419889354695,0.48594643660433134,False
C3,0.02,0.054730567581058806,0.4840845882512549,False
C3,0.01,0.05820711064035621,0.48344356261022925,False
C3,0.005,0.06024679854986199,0.48344356261022925,False
C4,0.1,0.019681607483163298,1.0,True
C4,0.05,0.02456987957339522,1.0,False
C4,0.02,0.03588402323674793,1.0,False
C4,0.01,0.046145698526728125,1.0,False
C4,0.005,0.053908405412444425,1.0,False
C5,0.1,0.014429025560849136,1.0,True
C5,0.05,0.01877577400525924,1.0,False
C5,0.02,0.0311845691793435,1.0,False
C5,0.01,0.04363282752294383,1.0,False
C5,0.005,0.05289225941819753,1.0,False
