threshold,review_rate,false_greenlight_rate,false_positive_review_rate
0.05,0.45555555555555555,0.016666666666666666,0.39166666666666666
0.1,0.3472222222222222,0.03888888888888889,0.3055555555555556
0.15,0.30833333333333335,0.04722222222222222,0.275
0.2,0.29444444444444445,0.04722222222222222,0.2611111111111111
0.25,0.2722222222222222,0.05277777777777778,0.24444444444444444
0.3,0.24722222222222223,0.058333333333333334,0.225
0.35,0.20555555555555555,0.06111111111111111,0.18611111111111112
0.39999999999999997,0.19444444444444445,0.06111111111111111,0.175
0.44999999999999996,0.19444444444444445,0.06111111111111111,0.175
0.49999999999999994,0.18055555555555555,0.06111111111111111,0.16111111111111112
0.5499999999999999,0.1638888888888889,0.06111111111111111,0.14444444444444443
0.6,0.13333333333333333,0.06666666666666667,0.11944444444444445
0.65,0.075,0.06666666666666667,0.06111111111111111
0.7,0.030555555555555555,0.06944444444444445,0.019444444444444445
0.75,0.019444444444444445,0.06944444444444445,0.008333333333333333
0.7999999999999999,0.005555555555555556,0.075,0.0
0.85,0.002777777777777778,0.07777777777777778,0.0
0.9,0.0,0.08055555555555556,0.0
0.95,0.0,0.08055555555555556,0.0
