threshold,review_rate,false_greenlight_rate,false_positive_review_rate
0.05,1.0,0.0,0.9083333333333333
0.1,0.48333333333333334,0.016666666666666666,0.4083333333333333
0.15,0.39166666666666666,0.016666666666666666,0.31666666666666665
0.2,0.36666666666666664,0.016666666666666666,0.2916666666666667
0.25,0.3611111111111111,0.016666666666666666,0.2861111111111111
0.3,0.35555555555555557,0.019444444444444445,0.2833333333333333
0.35,0.35,0.019444444444444445,0.2777777777777778
0.39999999999999997,0.30277777777777776,0.022222222222222223,0.23333333333333334
0.44999999999999996,0.2611111111111111,0.03611111111111111,0.20555555555555555
0.49999999999999994,0.2361111111111111,0.044444444444444446,0.18888888888888888
0.5499999999999999,0.20277777777777778,0.058333333333333334,0.16944444444444445
0.6,0.18611111111111112,0.06111111111111111,0.15555555555555556
0.65,0.1638888888888889,0.06388888888888888,0.1361111111111111
0.7,0.12777777777777777,0.06944444444444445,0.10555555555555556
0.75,0.08611111111111111,0.075,0.06944444444444445
0.7999999999999999,0.04722222222222222,0.07777777777777778,0.03333333333333333
0.85,0.011111111111111112,0.08055555555555556,0.0
0.9,0.0,0.09166666666666666,0.0
0.95,0.0,0.09166666666666666,0.0
