candidate_id,regularization,development_brier,development_pr_auc,selected
C3,0.05,0.05742624773043777,0.4424686424686425,True
C3,0.1,0.05803049494234363,0.43792318792318785,False
C3,0.02,0.058800303705463304,0.4424686424686425,False
C3,0.01,0.061534585281073265,0.4424686424686425,False
C3,0.005,0.06428847331510286,0.4424686424686425,False
C4,0.1,0.038533608006347086,0.5427100381887616,True
C4,0.05,0.03965521060442941,0.542713516600049,False
C4,0.02,0.045482938934644376,0.542713516600049,False
C4,0.01,0.0527827989318712,0.5425665874199137,False
C4,0.005,0.057875124895533245,0.5425665874199137,False
C5,0.1,0.04475260394205134,0.5419558603744564,True
C5,0.05,0.04513930653169463,0.541812429508134,False
C5,0.02,0.04741101603544323,0.5421207859682019,False
C5,0.01,0.05137628070027604,0.5424428471598283,False
C5,0.005,0.056657289247590795,0.5424428471598283,False
