candidate_id,regularization,development_brier,development_pr_auc,selected
C3,0.1,0.08077405516083534,0.5659543921379236,True
C3,0.05,0.08697648749086952,0.5655089126559715,False
C3,0.02,0.09505365418581785,0.5655089126559715,False
C3,0.01,0.09853892440388377,0.5655089126559715,False
C3,0.005,0.10025549061433708,0.5655089126559715,False
C4,0.1,0.04436872481903329,0.8324503079080543,True
C4,0.05,0.0496803173057044,0.8322546897546897,False
C4,0.02,0.06215011239637574,0.8322546897546897,False
C4,0.01,0.07475041903663694,0.8322546897546897,False
C4,0.005,0.08592899254235466,0.8322546897546897,False
C5,0.1,0.04166230003454885,0.7996472663139329,True
C5,0.05,0.04948564127912577,0.7996472663139329,False
C5,0.02,0.0663422959050893,0.7996472663139329,False
C5,0.01,0.07843835668114506,0.7996472663139329,False
C5,0.005,0.08552791262335295,0.7996472663139329,False
