threshold,review_rate,false_greenlight_rate,false_positive_review_rate
0.05,0.4444444444444444,0.013888888888888888,0.3638888888888889
0.1,0.37777777777777777,0.022222222222222223,0.3055555555555556
0.15,0.3472222222222222,0.027777777777777776,0.28055555555555556
0.2,0.3055555555555556,0.030555555555555555,0.24166666666666667
0.25,0.24722222222222223,0.041666666666666664,0.19444444444444445
0.3,0.18888888888888888,0.05555555555555555,0.15
0.35,0.14722222222222223,0.06388888888888888,0.11666666666666667
0.39999999999999997,0.10277777777777777,0.07222222222222222,0.08055555555555556
0.44999999999999996,0.07777777777777778,0.07222222222222222,0.05555555555555555
0.49999999999999994,0.06388888888888888,0.08055555555555556,0.05
0.5499999999999999,0.03888888888888889,0.08055555555555556,0.025
0.6,0.022222222222222223,0.08055555555555556,0.008333333333333333
0.65,0.011111111111111112,0.08333333333333333,0.0
0.7,0.011111111111111112,0.08333333333333333,0.0
0.75,0.005555555555555556,0.08888888888888889,0.0
0.7999999999999999,0.002777777777777778,0.09166666666666666,0.0
0.85,0.0,0.09444444444444444,0.0
0.9,0.0,0.09444444444444444,0.0
0.95,0.0,0.09444444444444444,0.0
