candidate_id,regularization,development_brier,development_pr_auc,selected
C3,0.05,0.061679340102548136,0.43847344908112496,True
C3,0.02,0.0624330062932317,0.43847344908112496,False
C3,0.1,0.06440034059398389,0.43847344908112496,False
C3,0.01,0.06566966629896577,0.43847344908112496,False
C3,0.005,0.06881994663209783,0.43847344908112496,False
C4,0.1,0.0438096631886532,0.6182559980513944,True
C4,0.05,0.04413161100934785,0.6182559980513944,False
C4,0.02,0.05617518731269515,0.6182559980513944,False
C4,0.01,0.06473486245800135,0.6182559980513944,False
C4,0.005,0.06869195897402004,0.6182559980513944,False
C5,0.05,0.04777057806205077,0.5930264007794289,True
C5,0.02,0.04795366183273268,0.5930264007794289,False
C5,0.1,0.05013383548872133,0.5930264007794289,False
C5,0.01,0.052946357372162633,0.5930264007794289,False
C5,0.005,0.06053787353265257,0.5930264007794289,False
