threshold,review_rate,false_greenlight_rate,false_positive_review_rate
0.05,0.5805555555555556,0.005555555555555556,0.5055555555555555
0.1,0.4527777777777778,0.008333333333333333,0.38055555555555554
0.15,0.4027777777777778,0.008333333333333333,0.33055555555555555
0.2,0.34444444444444444,0.011111111111111112,0.275
0.25,0.3194444444444444,0.013888888888888888,0.25277777777777777
0.3,0.25277777777777777,0.030555555555555555,0.20277777777777778
0.35,0.19444444444444445,0.03888888888888889,0.1527777777777778
0.39999999999999997,0.14166666666666666,0.04722222222222222,0.10833333333333334
0.44999999999999996,0.09722222222222222,0.05277777777777778,0.06944444444444445
0.49999999999999994,0.06666666666666667,0.058333333333333334,0.044444444444444446
0.5499999999999999,0.05555555555555555,0.06111111111111111,0.03611111111111111
0.6,0.05,0.06111111111111111,0.030555555555555555
0.65,0.03611111111111111,0.06111111111111111,0.016666666666666666
0.7,0.03333333333333333,0.06111111111111111,0.013888888888888888
0.75,0.030555555555555555,0.06111111111111111,0.011111111111111112
0.7999999999999999,0.019444444444444445,0.06666666666666667,0.005555555555555556
0.85,0.008333333333333333,0.07222222222222222,0.0
0.9,0.0,0.08055555555555556,0.0
0.95,0.0,0.08055555555555556,0.0
