n,safe_completion_at_1,autonomous_safe_completion_at_1,human_assisted_safe_completion,safe_intervention_rate,critical_false_greenlight_rate,overblock_rate,confirmation_burden,scope_required_recall,scope_authorized_precision,scope_f1,unauthorized_scope_rate,partial_failure_rate,compensation_attempt_rate,compensation_success_rate,harm_weighted_cost,preflight_success_rate,risk_pr_auc,brier,mean_latency_ms,slice_type,slice_value
120,0.9166666666666666,0.2916666666666667,0.625,0.075,0.0,0.03333333333333333,0.65,0.7416666666666667,0.9916666666666667,0.8486378205128206,0.0,0.0,0.0,1.0,0.12249999999999998,0.925,0.36971465656060853,0.08611840105188266,6.897774171860267,domain,calendar
120,0.9416666666666667,0.6833333333333333,0.25833333333333336,0.041666666666666664,0.008333333333333333,0.03333333333333333,0.26666666666666666,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.016666666666666666,0.0,0.0,1.0,0.08166666666666668,0.9416666666666667,0.5821428571428571,0.06387355214800519,6.5459049976198,domain,contacts
120,0.8583333333333333,0.3,0.5583333333333333,0.10833333333333334,0.008333333333333333,0.05,0.6333333333333333,0.7222222222222221,0.9638888888888888,0.8257367746659343,0.016666666666666666,0.0,0.0,1.0,0.18250000000000002,0.9416666666666667,0.3201574219547165,0.10129191860355054,6.823580840136856,domain,payments
120,0.8833333333333333,0.3,0.5833333333333334,0.10833333333333334,0.008333333333333333,0.041666666666666664,0.6333333333333333,0.7305555555555555,0.9805555555555555,0.8372925685425685,0.008333333333333333,0.0,0.0,1.0,0.17625,0.925,0.21299060902857628,0.11536993112592185,6.93896167698161,impact_tier,high
60,0.8333333333333334,0.0,0.8333333333333334,0.1,0.0,0.06666666666666667,0.9166666666666666,0.48333333333333334,0.9666666666666667,0.6444444444444445,0.016666666666666666,0.0,0.0,1.0,0.18750000000000003,0.8833333333333333,0.4557543763426116,0.06620942793619375,7.592391672854622,impact_tier,irreversible
60,0.9666666666666667,0.8666666666666667,0.1,0.05,0.0,0.016666666666666666,0.1,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,1.0,0.0275,1.0,0.6666666666666667,0.05264080915901465,5.900871672201902,impact_tier,low
120,0.9333333333333333,0.5416666666666666,0.39166666666666666,0.041666666666666664,0.008333333333333333,0.03333333333333333,0.4083333333333333,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.016666666666666666,0.0,0.0,1.0,0.10291666666666664,0.9416666666666667,0.5724141508455234,0.07648882212991231,6.581666660107051,impact_tier,medium
20,0.95,0.85,0.1,0.05,0.0,0.0,0.1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.015,1.0,1.0,0.03775819246898228,7.175649993587285,failure_family,ambiguity
20,0.95,0.75,0.2,0.0,0.05,0.0,0.2,0.975,0.975,0.975,0.05,0.0,0.0,1.0,0.12999999999999998,0.8,0.09090909090909091,0.054924393428670816,8.363014971837401,failure_family,duplicate_retry
120,0.925,0.5666666666666667,0.35833333333333334,0.05,0.008333333333333333,0.058333333333333334,0.35833333333333334,0.7930555555555556,0.9555555555555556,0.8667549201306151,0.008333333333333333,0.0,0.0,1.0,0.14749999999999996,0.9333333333333333,0.7439285714285715,0.04041840201550397,4.472101669913779,failure_family,normal
20,1.0,0.95,0.05,0.05,0.0,0.0,0.05,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0075,1.0,1.0,0.0144559226733917,7.224645011592656,failure_family,partial_failure
20,0.95,0.0,0.95,0.05,0.0,0.05,0.95,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.18,0.9,1.0,0.10290343891949642,9.456675016554072,failure_family,policy_conflict
20,0.95,0.95,0.0,0.0,0.0,0.05,0.0,0.95,0.95,0.9500000000000001,0.0,0.0,0.0,1.0,0.0375,1.0,,0.02009424332217633,6.720970012247562,failure_family,stale_target
20,0.95,0.0,0.95,0.05,0.0,0.0,1.0,0.475,0.95,0.6333333333333334,0.05,0.0,0.0,1.0,0.14999999999999997,0.9,0.25,0.05002963055551406,8.935475000180304,failure_family,timeout
120,0.8333333333333334,0.125,0.7083333333333334,0.14166666666666666,0.0,0.041666666666666664,0.8083333333333333,0.8208333333333333,0.9875,0.8964861751152073,0.008333333333333333,0.0,0.0,1.0,0.15249999999999997,0.9416666666666667,0.2140994233781497,0.1641711662265625,7.8157533387032645,failure_family,unseen_composition
120,0.925,0.5666666666666667,0.35833333333333334,0.05,0.008333333333333333,0.058333333333333334,0.35833333333333334,0.7930555555555556,0.9555555555555556,0.8667549201306151,0.008333333333333333,0.0,0.0,1.0,0.14749999999999996,0.9333333333333333,0.7439285714285715,0.04041840201550397,4.472101669913779,split,final_clean
120,0.8333333333333334,0.125,0.7083333333333334,0.14166666666666666,0.0,0.041666666666666664,0.8083333333333333,0.8208333333333333,0.9875,0.8964861751152073,0.008333333333333333,0.0,0.0,1.0,0.15249999999999997,0.9416666666666667,0.2140994233781497,0.1641711662265625,7.8157533387032645,split,final_compositional
120,0.9583333333333334,0.5833333333333334,0.375,0.03333333333333333,0.008333333333333333,0.016666666666666666,0.38333333333333336,0.8166666666666667,0.9791666666666666,0.8905645784996132,0.016666666666666666,0.0,0.0,1.0,0.08666666666666666,0.9333333333333333,0.5098784194528876,0.046694303561371935,7.97940500099988,split,final_hard
