metric,n_seeds,c3_mean,c5_mean,c5_minus_c3_mean,c5_minus_c3_std,bootstrap_95_low,bootstrap_95_high
safe_completion_at_1,5,0.8477777777777777,0.8933333333333333,0.04555555555555555,0.009938079899999078,0.037222222222222226,0.05277777777777779
autonomous_safe_completion_at_1,5,0.3633333333333334,0.37555555555555553,0.012222222222222212,0.02683109031342945,-0.010000000000000009,0.032777777777777774
critical_false_greenlight_rate,5,0.015555555555555555,0.0077777777777777776,-0.0077777777777777776,0.0060220787190774444,-0.012777777777777777,-0.003333333333333333
unauthorized_scope_rate,5,0.043888888888888894,0.01611111111111111,-0.02777777777777778,0.014698618394803282,-0.03722222222222222,-0.014444444444444449
scope_f1,5,0.8925587782335539,0.8810957318311665,-0.011463046402387222,0.004591707029621305,-0.015168493006448357,-0.008204896330301392
risk_pr_auc,5,0.44265819209474994,0.3204827358260586,-0.12217545626869138,0.10526954274141419,-0.1811736666014167,-0.026815696336713345
brier,5,0.07388119298114744,0.10450634503505281,0.03062515205390536,0.03031797273684359,0.007218188763007119,0.05403211534480359
harm_weighted_cost,5,0.17569444444444443,0.14508333333333331,-0.030611111111111106,0.018801267359435846,-0.045388888888888895,-0.01752777777777776
confirmation_burden,5,0.5222222222222221,0.5561111111111112,0.03388888888888893,0.021995369883143455,0.016111111111111187,0.050555555555555555
mean_latency_ms,5,6.77819855491786,7.327587778498936,0.5493892235810763,1.5528764786245073,-0.671559944425503,1.7703383915876558
