reference_strategy,selected,n,safe_completion_at_1,autonomous_safe_completion_at_1,human_assisted_safe_completion,safe_intervention_rate,critical_false_greenlight_rate,overblock_rate,confirmation_burden,scope_required_recall,scope_authorized_precision,scope_f1,unauthorized_scope_rate,partial_failure_rate,compensation_attempt_rate,compensation_success_rate,harm_weighted_cost,preflight_success_rate,risk_pr_auc,brier,mean_latency_ms
random,True,360,0.875,0.33611111111111114,0.5388888888888889,0.08611111111111111,0.005555555555555556,0.05555555555555555,0.5722222222222222,0.8226851851851852,0.9882407407407408,0.8978953861827879,0.016666666666666666,0.0,0.0,1.0,0.1386111111111111,0.9444444444444444,0.4551531863268303,0.06802304661301534,6.023094721280763
farthest_first,False,360,0.8777777777777778,0.3277777777777778,0.55,0.08611111111111111,0.005555555555555556,0.05555555555555555,0.5833333333333334,0.8226851851851852,0.9882407407407408,0.8978953861827879,0.016666666666666666,0.0,0.0,1.0,0.14027777777777775,0.9444444444444444,0.37917822156200726,0.07227697585639693,7.583927221518631
