threshold,review_rate,false_greenlight_rate,false_positive_review_rate
0.05,0.7416666666666667,0.005555555555555556,0.6638888888888889
0.1,0.3527777777777778,0.03611111111111111,0.3055555555555556
0.15,0.2916666666666667,0.041666666666666664,0.25
0.2,0.225,0.044444444444444446,0.18611111111111112
0.25,0.1638888888888889,0.05277777777777778,0.13333333333333333
0.3,0.14722222222222223,0.05277777777777778,0.11666666666666667
0.35,0.12777777777777777,0.05555555555555555,0.1
0.39999999999999997,0.08333333333333333,0.05555555555555555,0.05555555555555555
0.44999999999999996,0.06666666666666667,0.058333333333333334,0.041666666666666664
0.49999999999999994,0.041666666666666664,0.058333333333333334,0.016666666666666666
0.5499999999999999,0.03611111111111111,0.06111111111111111,0.013888888888888888
0.6,0.027777777777777776,0.06111111111111111,0.005555555555555556
0.65,0.019444444444444445,0.06388888888888888,0.0
0.7,0.019444444444444445,0.06388888888888888,0.0
0.75,0.013888888888888888,0.06944444444444445,0.0
0.7999999999999999,0.008333333333333333,0.075,0.0
0.85,0.005555555555555556,0.07777777777777778,0.0
0.9,0.0,0.08333333333333333,0.0
0.95,0.0,0.08333333333333333,0.0
