candidate_id,regularization,development_brier,development_pr_auc,selected
C3,0.1,0.03930500758852859,0.7547619047619047,True
C3,0.05,0.04181043700399338,0.7547619047619047,False
C3,0.02,0.04892460808425428,0.7547619047619047,False
C3,0.01,0.05676748935104562,0.7547619047619047,False
C3,0.005,0.06366475315283425,0.7547619047619047,False
C4,0.1,0.04467021409191971,0.6190823724030555,True
C4,0.05,0.05340579174125227,0.6190823724030555,False
C4,0.02,0.06512128925304121,0.6190823724030555,False
C4,0.01,0.06947967709839947,0.6190823724030555,False
C4,0.005,0.07132568363814007,0.6190823724030555,False
C5,0.1,0.03676017428054946,0.5479031696273076,True
C5,0.05,0.03812738416740311,0.5477277310308163,False
C5,0.02,0.04291483572064392,0.5480216622458002,False
C5,0.01,0.049188770465809314,0.5480216622458002,False
C5,0.005,0.05542654716540969,0.5480216622458002,False
